DNI;MATRICULA;FECHA;NUMERO;IMPUESTO
9283760794;00236;2016-10-27;49700;0.1
5840119709;00235;2016-10-27;49701;0.12
2600586709;00235;2016-10-27;49702;0.1
5576228758;00235;2016-10-27;49703;0.12
94387575700;00237;2016-10-27;49704;0.12
8719655770;00237;2016-10-27;49705;0.12
9283760794;00237;2016-10-27;49706;0.1
5648641702;00235;2016-10-27;49707;0.12
7771579779;00236;2016-10-27;49708;0.1
50534475787;00235;2016-10-27;49709;0.1
1471156710;00235;2016-10-27;49710;0.1
5648641702;00235;2016-10-27;49711;0.1
8502682733;00236;2016-10-27;49712;0.12
9283760794;00237;2016-10-27;49713;0.1
1471156710;00235;2016-10-27;49714;0.12
9283760794;00236;2016-10-27;49715;0.1
19290992743;00236;2016-10-27;49716;0.12
8719655770;00235;2016-10-27;49717;0.1
5840119709;00237;2016-10-27;49718;0.1
492472718;00236;2016-10-27;49719;0.1
3623344710;00236;2016-10-27;49720;0.1
2600586709;00236;2016-10-27;49721;0.1
50534475787;00235;2016-10-27;49722;0.12
8502682733;00235;2016-10-27;49723;0.1
8719655770;00237;2016-10-27;49724;0.1
19290992743;00235;2016-10-27;49725;0.12
5648641702;00236;2016-10-27;49726;0.1
50534475787;00235;2016-10-28;49727;0.12
7771579779;00235;2016-10-28;49728;0.12
1471156710;00236;2016-10-28;49729;0.12
5840119709;00237;2016-10-28;49730;0.12
8502682733;00235;2016-10-28;49731;0.1
9283760794;00237;2016-10-28;49732;0.1
5576228758;00237;2016-10-28;49733;0.12
8719655770;00237;2016-10-28;49734;0.12
94387575700;00236;2016-10-28;49735;0.1
2600586709;00235;2016-10-28;49736;0.12
19290992743;00237;2016-10-28;49737;0.12
8502682733;00237;2016-10-28;49738;0.12
19290992743;00236;2016-10-28;49739;0.1
492472718;00236;2016-10-28;49740;0.12
2600586709;00236;2016-10-28;49741;0.1
8719655770;00236;2016-10-28;49742;0.1
1471156710;00237;2016-10-28;49743;0.1
1471156710;00236;2016-10-28;49744;0.1
5648641702;00236;2016-10-28;49745;0.12
8719655770;00236;2016-10-28;49746;0.1
5576228758;00237;2016-10-28;49747;0.12
8502682733;00235;2016-10-28;49748;0.1
5840119709;00237;2016-10-28;49749;0.12
5648641702;00237;2016-10-28;49750;0.12
50534475787;00235;2016-10-28;49751;0.12
94387575700;00236;2016-10-28;49752;0.12
9283760794;00235;2016-10-28;49753;0.1
9283760794;00236;2016-10-28;49754;0.12
1471156710;00236;2016-10-28;49755;0.1
492472718;00236;2016-10-28;49756;0.12
5576228758;00235;2016-10-28;49757;0.12
3623344710;00235;2016-10-28;49758;0.1
492472718;00235;2016-10-28;49759;0.1
19290992743;00237;2016-10-28;49760;0.1
8719655770;00236;2016-10-28;49761;0.1
5576228758;00237;2016-10-28;49762;0.1
8502682733;00235;2016-10-28;49763;0.12
19290992743;00237;2016-10-28;49764;0.12
5576228758;00236;2016-10-28;49765;0.12
7771579779;00235;2016-10-28;49766;0.12
2600586709;00235;2016-10-28;49767;0.12
19290992743;00235;2016-10-28;49768;0.1
5648641702;00236;2016-10-28;49769;0.12
9283760794;00235;2016-10-28;49770;0.12
1471156710;00236;2016-10-28;49771;0.1
5576228758;00236;2016-10-28;49772;0.1
9283760794;00236;2016-10-28;49773;0.1
50534475787;00236;2016-10-28;49774;0.12
8502682733;00236;2016-10-28;49775;0.12
7771579779;00236;2016-10-28;49776;0.12
8502682733;00235;2016-10-28;49777;0.12
1471156710;00235;2016-10-28;49778;0.12
3623344710;00235;2016-10-28;49779;0.12
3623344710;00236;2016-10-28;49780;0.12
5648641702;00236;2016-10-28;49781;0.1
8719655770;00236;2016-10-28;49782;0.1
1471156710;00236;2016-10-28;49783;0.12
50534475787;00237;2016-10-28;49784;0.1
9283760794;00235;2016-10-28;49785;0.1
50534475787;00237;2016-10-28;49786;0.12
5840119709;00235;2016-10-28;49787;0.12
50534475787;00236;2016-10-28;49788;0.1
19290992743;00235;2016-10-28;49789;0.1
8502682733;00235;2016-10-28;49790;0.1
5648641702;00235;2016-10-28;49791;0.1
2600586709;00236;2016-10-28;49792;0.1
19290992743;00237;2016-10-28;49793;0.12
5648641702;00237;2016-10-28;49794;0.1
94387575700;00237;2016-10-28;49795;0.1
8502682733;00236;2016-10-28;49796;0.1
3623344710;00236;2016-10-28;49797;0.12
5840119709;00235;2016-10-28;49798;0.12
50534475787;00235;2016-10-28;49799;0.1

1471156710;00237;2016-10-28;49800;0.1
19290992743;00235;2016-10-28;49801;0.1
8502682733;00235;2016-10-29;49802;0.12
94387575700;00236;2016-10-29;49803;0.12
5648641702;00236;2016-10-29;49804;0.1
94387575700;00236;2016-10-29;49805;0.1
19290992743;00237;2016-10-29;49806;0.1
94387575700;00235;2016-10-29;49807;0.12
1471156710;00235;2016-10-29;49808;0.12
8719655770;00235;2016-10-29;49809;0.1
5648641702;00236;2016-10-29;49810;0.1
5840119709;00235;2016-10-29;49811;0.12
94387575700;00235;2016-10-29;49812;0.1
3623344710;00236;2016-10-29;49813;0.12
3623344710;00237;2016-10-29;49814;0.12
5576228758;00236;2016-10-29;49815;0.12
50534475787;00236;2016-10-29;49816;0.1
5648641702;00236;2016-10-29;49817;0.12
5648641702;00236;2016-10-29;49818;0.12
50534475787;00237;2016-10-29;49819;0.12
19290992743;00235;2016-10-29;49820;0.12
5576228758;00235;2016-10-29;49821;0.1
8719655770;00236;2016-10-29;49822;0.1
94387575700;00237;2016-10-29;49823;0.12
1471156710;00236;2016-10-29;49824;0.12
50534475787;00235;2016-10-29;49825;0.1
5840119709;00236;2016-10-29;49826;0.1
2600586709;00235;2016-10-29;49827;0.12
7771579779;00236;2016-10-29;49828;0.1
19290992743;00236;2016-10-29;49829;0.12
5648641702;00235;2016-10-29;49830;0.12
5648641702;00236;2016-10-29;49831;0.12
19290992743;00237;2016-10-29;49832;0.1
5576228758;00235;2016-10-29;49833;0.12
8719655770;00236;2016-10-29;49834;0.1
3623344710;00237;2016-10-29;49835;0.12
8719655770;00237;2016-10-29;49836;0.1
94387575700;00236;2016-10-29;49837;0.12
50534475787;00236;2016-10-29;49838;0.1
7771579779;00237;2016-10-29;49839;0.12
1471156710;00237;2016-10-29;49840;0.1
3623344710;00235;2016-10-29;49841;0.1
50534475787;00235;2016-10-29;49842;0.12
5840119709;00237;2016-10-29;49843;0.12
5576228758;00236;2016-10-29;49844;0.12
3623344710;00235;2016-10-29;49845;0.12
3623344710;00237;2016-10-29;49846;0.12
2600586709;00235;2016-10-29;49847;0.1
5576228758;00235;2016-10-29;49848;0.12
5576228758;00236;2016-10-29;49849;0.1
5840119709;00235;2016-10-29;49850;0.1
9283760794;00235;2016-10-29;49851;0.1
94387575700;00236;2016-10-29;49852;0.12
2600586709;00236;2016-10-29;49853;0.12
3623344710;00236;2016-10-29;49854;0.1
5648641702;00236;2016-10-29;49855;0.12
9283760794;00235;2016-10-29;49856;0.1
9283760794;00236;2016-10-29;49857;0.1
492472718;00236;2016-10-29;49858;0.12
94387575700;00237;2016-10-29;49859;0.12
50534475787;00236;2016-10-29;49860;0.12
5576228758;00237;2016-10-29;49861;0.12
19290992743;00236;2016-10-29;49862;0.12
1471156710;00235;2016-10-29;49863;0.1
9283760794;00235;2016-10-29;49864;0.12
94387575700;00237;2016-10-29;49865;0.1
5576228758;00237;2016-10-29;49866;0.1
492472718;00235;2016-10-29;49867;0.12
492472718;00235;2016-10-29;49868;0.12
9283760794;00235;2016-10-29;49869;0.12
1471156710;00235;2016-10-30;49870;0.1
492472718;00235;2016-10-30;49871;0.12
9283760794;00236;2016-10-30;49872;0.1
9283760794;00235;2016-10-30;49873;0.12
5840119709;00237;2016-10-30;49874;0.12
7771579779;00236;2016-10-30;49875;0.1
2600586709;00237;2016-10-30;49876;0.1
8719655770;00237;2016-10-30;49877;0.1
50534475787;00236;2016-10-30;49878;0.12
8502682733;00236;2016-10-30;49879;0.12
8719655770;00235;2016-10-30;49880;0.1
5576228758;00236;2016-10-30;49881;0.1
8719655770;00236;2016-10-30;49882;0.12
2600586709;00236;2016-10-30;49883;0.1
7771579779;00235;2016-10-30;49884;0.1
19290992743;00235;2016-10-30;49885;0.1
7771579779;00235;2016-10-30;49886;0.12
19290992743;00235;2016-10-30;49887;0.12
7771579779;00235;2016-10-30;49888;0.1
5840119709;00235;2016-10-30;49889;0.12
2600586709;00236;2016-10-30;49890;0.1
50534475787;00235;2016-10-30;49891;0.1
19290992743;00236;2016-10-30;49892;0.12
94387575700;00236;2016-10-30;49893;0.12
5840119709;00237;2016-10-30;49894;0.1
7771579779;00235;2016-10-30;49895;0.12
5840119709;00237;2016-10-30;49896;0.12
7771579779;00235;2016-10-30;49897;0.12
9283760794;00236;2016-10-30;49898;0.1
7771579779;00236;2016-10-30;49899;0.12

19290992743;00235;2016-10-30;49900;0.12
2600586709;00236;2016-10-30;49901;0.1
94387575700;00237;2016-10-30;49902;0.12
3623344710;00237;2016-10-30;49903;0.1
50534475787;00235;2016-10-30;49904;0.1
94387575700;00235;2016-10-30;49905;0.12
2600586709;00236;2016-10-30;49906;0.1
19290992743;00235;2016-10-30;49907;0.12
5840119709;00236;2016-10-30;49908;0.12
94387575700;00237;2016-10-30;49909;0.1
5576228758;00236;2016-10-30;49910;0.12
9283760794;00236;2016-10-30;49911;0.12
19290992743;00236;2016-10-30;49912;0.1
94387575700;00237;2016-10-30;49913;0.1
8719655770;00235;2016-10-30;49914;0.1
8719655770;00236;2016-10-30;49915;0.12
5840119709;00235;2016-10-30;49916;0.1
8502682733;00236;2016-10-30;49917;0.1
8719655770;00237;2016-10-30;49918;0.1
8719655770;00236;2016-10-30;49919;0.1
3623344710;00236;2016-10-30;49920;0.1
19290992743;00235;2016-10-30;49921;0.1
